"age","sex","ndepchld","wage","working","married","wage_ln","educ"
38,"female",1,1039.50109863281,1,1,6.94649600982666,12
56,"female",0,543.799987792969,1,1,6.29858160018921,10
48,"female",2,265.696472167969,1,1,5.58235454559326,11
58,"female",0,NA,0,1,NA,10
48,"female",0,NA,0,1,NA,12
56,"female",0,NA,0,1,NA,10
56,"female",0,NA,0,1,NA,10
36,"female",2,NA,0,1,NA,12
36,"female",5,NA,0,1,NA,11
35,"female",1,NA,0,1,NA,10
52,"female",0,1633.51647949219,1,1,7.39849042892456,16
39,"female",2,1646.57824707031,1,1,7.40645456314087,17
37,"female",1,902.05126953125,1,1,6.80467128753662,12
44,"female",2,3800.90502929688,1,1,8.24299430847168,13
48,"female",0,812.5,1,1,6.70011568069458,11
32,"female",2,646.153869628906,1,1,6.47103786468506,14
43,"female",1,769.230773925781,1,1,6.64539098739624,30
38,"female",3,781.25,1,1,6.66089534759521,10
54,"female",1,1000,1,1,6.90775537490845,10
31,"female",2,1428.57141113281,1,1,7.26443004608154,14
68,"female",0,NA,0,1,NA,12
67,"female",0,NA,0,1,NA,10
58,"female",0,625,1,1,6.43775177001953,10
54,"female",0,1559.25158691406,1,1,7.35196113586426,11
41,"female",0,400,1,1,5.99146461486816,11
32,"female",2,NA,0,1,NA,13
38,"female",2,450,1,1,6.10924768447876,11
50,"female",0,740.890686035156,1,1,6.60785293579102,11
40,"female",3,NA,0,1,NA,11
49,"female",0,NA,0,1,NA,17
41,"female",2,NA,0,1,NA,17
53,"female",0,NA,0,1,NA,13
61,"female",0,871.428588867188,1,1,6.77013397216797,11
46,"female",1,NA,0,1,NA,30
57,"female",0,1559.25158691406,1,1,7.35196113586426,13
46,"female",2,562.5,1,1,6.33239126205444,11
44,"female",2,854.487182617188,1,1,6.75050163269043,13
38,"female",2,1009.61535644531,1,1,6.91732454299927,13
51,"female",1,NA,0,1,NA,17
35,"female",1,1025.38464355469,1,1,6.93282318115234,13
59,"female",0,NA,0,1,NA,11
59,"female",0,NA,0,1,NA,13
36,"female",2,769.230773925781,1,1,6.64539098739624,13
59,"female",0,NA,0,1,NA,9
40,"female",1,1153.84619140625,1,1,7.05085611343384,13
56,"female",0,590.559448242188,1,1,6.38107013702393,10
41,"female",1,603.7421875,1,1,6.40314722061157,11
61,"female",0,NA,0,1,NA,10
65,"female",0,NA,0,1,NA,10
63,"female",0,NA,0,1,NA,9
65,"female",0,NA,0,1,NA,11
42,"female",3,NA,0,1,NA,7
33,"female",1,NA,0,1,NA,10
52,"female",0,892.307678222656,1,1,6.79381084442139,13
54,"female",0,NA,0,1,NA,11
47,"female",2,2053.84619140625,1,1,7.62746953964233,16
52,"female",0,NA,0,1,NA,20
46,"female",2,NA,0,1,NA,11
63,"female",0,NA,0,1,NA,11
53,"female",0,NA,0,1,NA,10
36,"female",2,892.011840820312,1,1,6.79347944259644,13
41,"female",2,783.333312988281,1,1,6.66355848312378,11
40,"female",3,750,1,1,6.62007331848145,11
47,"female",0,800,1,1,6.68461179733276,13
38,"female",2,659.722229003906,1,1,6.49181890487671,11
50,"female",0,466.666656494141,1,1,6.1456151008606,10
43,"female",1,692.307678222656,1,1,6.54003047943115,11
